board_code,board_name,pct,main_net_inflow,leader_code,leader_name,leader_pct
BK1599,其他医疗服务,6.72,196897219.0,000504,南华生物,10.0
BK1341,房产租赁经纪,4.86,100325575.0,002285,世联行,9.89
BK1326,半导体设备,4.83,1819642112.0,301583,托伦斯,20.0
BK1331,数字芯片设计,4.68,7534763008.0,603316,诚邦股份,10.02
BK1329,集成电路制造,4.59,1239664752.0,688820,盛合晶微,7.11
BK1317,光伏加工设备,4.52,63111952.0,688726,拉普拉斯,11.26
BK1327,分立器件,4.46,1131824144.0,688261,东微半导,15.16
BK1328,集成电路封测,4.43,5082660384.0,002185,华天科技,10.01
BK1330,模拟芯片设计,4.42,126712192.0,603068,博通集成,10.0
BK1036,半导体,4.35,18220373248.0,603068,博通集成,10.0
BK1364,资产管理,4.31,121294486.0,000532,华金资本,10.02
BK1602,诊断服务,3.97,90846517.0,300676,华大基因,6.41
BK1616,白银,3.9,192692048.0,000603,盛达资源,5.88
BK1547,跨境电商,3.58,-171469810.0,300464,星徽股份,17.39
BK1320,逆变器,3.57,545770288.0,300827,上能电气,7.1
BK1552,超市,3.5,109613478.0,605188,国光连锁,9.97
BK1315,光伏电池组件,3.25,255347264.0,600732,爱旭股份,7.75
BK1495,生活用纸,3.23,195539666.0,301108,洁雅股份,11.02
BK1322,其他电源设备Ⅲ,3.16,782448080.0,688785,恒运昌,10.63
BK1031,光伏设备,3.15,1073681328.0,002623,亚玛顿,9.98
BK1556,教育运营及其他,3.14,6404904.0,600880,博瑞传播,3.25
BK1540,其他家居用品,3.14,-16146806.0,001216,华瓷股份,10.01
BK1325,半导体材料,3.11,1285106176.0,688535,华海诚科,6.24
BK1336,其他电子Ⅲ,3.01,706047568.0,002161,远 望 谷,10.02
BK1223,其他电子Ⅱ,3.01,706047568.0,002161,远 望 谷,10.02
BK1034,其他电源设备Ⅱ,3.0,927959792.0,688785,恒运昌,10.63
BK1600,医疗研发外包,2.89,497907408.0,301230,泓博医药,10.76
BK1591,通信网络设备及器件,2.86,6753033728.0,301419,阿莱德,13.03
BK1201,电子,2.81,19853959168.0,002161,远 望 谷,10.02
BK1355,运动服装,2.81,4852997.0,002780,三夫户外,5.7
BK1567,其他专业服务,2.79,-6366106.0,301169,零点有数,6.19
BK1385,航天装备Ⅲ,2.79,205636144.0,600118,中国卫星,3.85
BK1232,航天装备Ⅱ,2.79,205636144.0,600118,中国卫星,3.85
BK0458,仪器仪表,2.79,849582784.0,002849,威星智能,10.02
BK0727,医疗服务,2.77,1115881072.0,000504,南华生物,10.0
BK1598,疫苗,2.74,89644745.0,688276,百克生物,10.09
BK1332,电子化学品Ⅲ,2.71,658138288.0,688548,广钢气体,8.4
BK1039,电子化学品Ⅱ,2.71,658138288.0,688548,广钢气体,8.4
BK1371,铁矿石,2.7,151977747.0,601123,马矿股份,10.02
BK1251,个护用品,2.68,182957949.0,301108,洁雅股份,11.02
BK1618,磁性材料,2.63,196878432.0,301531,春光集团,8.5
BK1304,锂电专用设备,2.62,170483759.0,920289,华汇智能,15.31
BK1477,其他专业工程,2.61,277751984.0,601133,柏诚股份,9.98
