code,industry
689009,摩托车及其他
688981,半导体
688837,化学制药
688836,自动化设备
688835,专用设备
688828,通用设备
688826,光学光电子
688825,半导体
688820,半导体
688819,电池
688818,航天装备Ⅱ
688816,自动化设备
688813,专用设备
688811,金属新材料
688809,半导体
688808,通用设备
688807,半导体
688806,生物制品
688805,医疗器械
688802,半导体
688801,半导体
688800,其他电子Ⅱ
688799,化学制药
688798,半导体
688797,半导体
688796,医疗服务
688795,半导体
688793,小家电
688790,半导体
688789,专用设备
688788,军工电子Ⅱ
688787,IT服务Ⅱ
688786,金属新材料
688785,其他电源设备Ⅱ
688783,半导体
688781,光学光电子
688779,电池
688778,电池
688777,自动化设备
688776,军工电子Ⅱ
688775,消费电子
688772,电池
688768,通用设备
688767,医疗器械
688766,半导体
688765,生物制品
688759,化学制药
688758,化学制药
688757,专业服务
688755,专用设备
688750,小金属
688739,生物制品
688737,汽车零部件
688733,电池
688729,半导体
688728,半导体
688727,半导体
688726,光伏设备
688722,化学纤维
688721,半导体
688720,半导体
688719,其他电源设备Ⅱ
688718,塑料
688717,光伏设备
688716,塑料
688712,医疗器械
688711,半导体
688710,医疗服务
688709,半导体
688708,航空装备Ⅱ
688707,电池
688702,半导体
688701,环境治理
688700,专用设备
688699,半导体
688698,自动化设备
688697,通用设备
688696,黑色家电
688695,软件开发
688693,半导体
688692,软件开发
688691,半导体
688690,化学制药
688689,半导体
688687,生物制品
688686,自动化设备
688685,航空装备Ⅱ
688683,电子化学品Ⅱ
688682,军工电子Ⅱ
688681,电网设备
688680,光伏设备
688679,环境治理
688678,消费电子
688677,医疗器械
688676,电网设备
688671,环保设备Ⅱ
688670,生物制品
688669,塑料
688668,通信设备
688667,汽车零部件
